year,block,population,lat,long
2011,geoId/371190056191,1939,35.254399500000005,-80.6753895
2011,geoId/371190059061,1335,35.234161,-80.9983715
2011,geoId/371190062121,1850,35.416201,-80.868849
2011,geoId/371190059112,1850,35.08190109308395,-81.000968
2011,geoId/371190016081,2541,35.239419999999996,-80.769965
2011,geoId/371190019222,2491,35.2165965,-80.69093649999999
2011,geoId/371190024001,1166,35.2100755,-80.814651
2011,geoId/371190055182,1304,35.3642105,-80.7662965
2011,geoId/371190056161,1886,35.264596499999996,-80.7127605
2011,geoId/371190058461,1765,35.0373315,-80.79321150000001
2011,geoId/371190004001,590,35.2217795,-80.8591765
2011,geoId/371190025002,876,35.218481499999996,-80.8255005
2011,geoId/371190030153,1207,35.121112,-80.74807150000001
2011,geoId/371190059172,2241,35.106745000000004,-80.9604445
2011,geoId/371190021001,611,35.1904485,-80.7891505
2011,geoId/371190027022,1826,35.1787385,-80.8415545
2011,geoId/371190032032,458,35.1792995,-80.86087549999999
2011,geoId/371190039023,1165,35.213539499999996,-80.88968
2011,geoId/371190055242,966,35.3118155,-80.78550899999999
2011,geoId/371190059143,2482,35.1258095,-80.96259
2011,geoId/371190055201,3734,35.342866,-80.75218050000001
2011,geoId/371190059063,997,35.198451500000004,-80.98852049999999
2011,geoId/371190060101,1915,35.3033395,-80.9454525
2011,geoId/371190029032,1138,35.155872,-80.820149
2011,geoId/371190032012,1602,35.182269,-80.87248600000001
2011,geoId/371190042004,1329,35.2468435,-80.88850550000001
2011,geoId/371190001003,654,35.2303235,-80.8403395
2011,geoId/371190024003,503,35.2069535,-80.82092449999999
2011,geoId/371190058112,1811,35.1327905,-80.74937
2011,geoId/371190064052,628,35.4733265,-80.8365235
2011,geoId/371190001002,1297,35.2316555,-80.845128
2011,geoId/371190019121,2237,35.2129415,-80.735233
2011,geoId/371190019153,1126,35.159413,-80.741421
2011,geoId/371190029052,785,35.167398000000006,-80.8270815
2011,geoId/371190030162,827,35.116986499999996,-80.766731
2011,geoId/371190057113,3182,35.163846,-80.67336
2011,geoId/371190055202,1058,35.352885,-80.74311499999999
2011,geoId/371190030115,1083,35.125011,-80.8467385
2011,geoId/371190056052,1313,35.2943135,-80.735429
2011,geoId/371190058483,903,35.0950465,-80.728793
2011,geoId/371190061062,1146,35.3578415,-80.853962
2011,geoId/371190019172,1624,35.204629499999996,-80.6812485
2011,geoId/371190058262,2249,35.074902,-80.8688735
2011,geoId/371190062043,3097,35.4753965,-80.92004
2011,geoId/371190015041,2828,35.2461355,-80.769488
2011,geoId/371190016051,2452,35.221069,-80.7755335
2011,geoId/371190038061,2982,35.1518565,-80.9185695
2011,geoId/371190063021,2198,35.390069499999996,-80.8221355
2011,geoId/371190016071,2999,35.2124525,-80.7486595
2011,geoId/371190048003,1176,35.251037,-80.8485695
2011,geoId/371190058172,2645,35.0705285,-80.7821325
2011,geoId/371190058391,2237,35.0702125,-80.83959250000001
2011,geoId/371190063041,495,35.44559,-80.8202665
2011,geoId/371190020024,1054,35.159440000000004,-80.793373
2011,geoId/371190058151,2676,35.085545,-80.80426449999999
2011,geoId/371190015091,1393,35.2554985,-80.758802
2011,geoId/371190053052,1131,35.27152100000001,-80.78642500000001
2011,geoId/371190058171,1245,35.0821845,-80.7828895
2011,geoId/371190058381,1835,35.03506907063675,-80.86279182994704
2011,geoId/371190062122,842,35.4098395,-80.8640605
2011,geoId/371190020031,987,35.166365,-80.76334299999999
2011,geoId/371190029062,1193,35.159490500000004,-80.8422865
2011,geoId/371190015051,3544,35.2756715,-80.7527335
2011,geoId/371190017012,1829,35.214867999999996,-80.7945475
2011,geoId/371190062091,207,35.45734,-80.8793095
2011,geoId/371190019113,2673,35.188943,-80.7127185
2011,geoId/371190030161,2319,35.11077,-80.76843550000001
2011,geoId/371190058333,1048,35.114545500000006,-80.7298715
2011,geoId/371190012003,1551,35.226923,-80.79244700000001
2011,geoId/371190015101,2112,35.2591655,-80.7435615
2011,geoId/371190027023,830,35.1751945,-80.8354675
2011,geoId/371190030163,1352,35.1042645,-80.7729075
2011,geoId/371190058441,3691,35.0291285,-80.8294575
2011,geoId/371190039021,793,35.212793500000004,-80.9063275
2011,geoId/371190055121,875,35.306408,-80.81115750000001
2011,geoId/371190055232,2307,35.312844999999996,-80.74811550000001
2011,geoId/371190057142,1289,35.162924000000004,-80.6283865
2011,geoId/371190019211,2413,35.172835,-80.7310525
2011,geoId/371190030113,1501,35.131221499999995,-80.8481735
2011,geoId/371190058252,1803,35.0787905,-80.89561508291845
2011,geoId/371190060102,2037,35.288825,-80.93205649999999
2011,geoId/371190062101,2716,35.4256805,-80.89218550000001
2011,geoId/371190016032,1509,35.227301,-80.7581895
2011,geoId/371190019202,1278,35.173403,-80.7439545
2011,geoId/371190024002,971,35.203856,-80.81380300000001
2011,geoId/371190055233,2099,35.324795,-80.7432635
2011,geoId/371190058123,1282,35.1493215,-80.73492999999999
2011,geoId/371190058482,1494,35.081348500000004,-80.7442675
2011,geoId/371190043023,1486,35.2653485,-80.894723
2011,geoId/371190058431,1860,35.038805499999995,-80.81988
2011,geoId/371190062081,2233,35.4725325,-80.881314
2011,geoId/371190019142,1584,35.1728845,-80.7614355
2011,geoId/371190045001,824,35.259280000000004,-80.8725935
2011,geoId/371190056181,1862,35.27131,-80.681759
2011,geoId/371190059081,1581,35.1229145,-81.02664899999999
2011,geoId/371190061044,1600,35.3067315,-80.886505
2011,geoId/371190046001,1555,35.264598500000005,-80.861985
2011,geoId/371190056101,1302,35.32507,-80.71104500000001
2011,geoId/371190058321,3015,35.100378000000006,-80.765406
2011,geoId/371190064072,1936,35.44646,-80.854901
2011,geoId/371190055111,1111,35.335663499999995,-80.8163175
2011,geoId/371190056121,3475,35.2999815,-80.71764250000001
2011,geoId/371190058231,1114,35.04949,-80.755821
2011,geoId/371190058351,2853,35.0972895,-80.70217650000001
2011,geoId/371190058451,1147,35.044034499999995,-80.7973455
2011,geoId/371190037002,1419,35.2039345,-80.87641500000001
2011,geoId/371190043021,1006,35.2558585,-80.900975
2011,geoId/371190057092,1547,35.13659,-80.7014085
2011,geoId/371190025001,610,35.216048,-80.82079150000001
2011,geoId/371190038081,2156,35.1387165,-80.890173
2011,geoId/371190058421,1577,35.047793,-80.812847
2011,geoId/371190062044,1459,35.4613355,-80.89567
2011,geoId/371190016061,3255,35.218254,-80.76042699999999
2011,geoId/371190016062,698,35.218098999999995,-80.767089
2011,geoId/371190020041,1522,35.152007499999996,-80.7849015
2011,geoId/371190029063,1887,35.161176,-80.831687
2011,geoId/371190055241,533,35.309863,-80.770671
2011,geoId/371190058361,2667,35.054528000000005,-80.87567346568795
2011,geoId/371190015083,869,35.2333285,-80.73324400000001
2011,geoId/371190019111,1217,35.182254,-80.72292350000001
2011,geoId/371190043022,2167,35.2597205,-80.88893300000001
2011,geoId/371190057121,2106,35.124213999999995,-80.685359
2011,geoId/371190058302,1891,35.0706565,-80.85505749999999
2011,geoId/371190040004,1394,35.234874,-80.92091450000001
2011,geoId/371190061031,2136,35.336124,-80.954969
2011,geoId/371190027021,2229,35.1882405,-80.8364505
2011,geoId/371190054011,2662,35.29127,-80.84285
2011,geoId/371190058161,3004,35.070991500000005,-80.80825200000001
2011,geoId/371190022004,1517,35.1872525,-80.8126525
2011,geoId/371190030151,1158,35.124041000000005,-80.774876
2011,geoId/371190058473,775,35.068188,-80.756817
2011,geoId/371190060072,1977,35.323523,-80.968066
2011,geoId/371190060082,2002,35.3110225,-80.9576605
2011,geoId/371190063042,3723,35.430066,-80.8236725
2011,geoId/371190030074,1377,35.125411,-80.8210985
2011,geoId/371190032041,783,35.186094,-80.8607985
2011,geoId/371190055245,1083,35.298936,-80.76739500000001
2011,geoId/371190056102,2373,35.318336,-80.7025005
2011,geoId/371190059111,2460,35.0733276473366,-81.0310075
